Business,City,Owner,Title,Source,Note,Adjust,Exclude
Mr. Electric Of The Sioux Empire,Sioux Falls,Allen Hallstrom,"Owner (franchisee, likely; same address as Aire Serv of Sioux Empire)",web search 2026-09-25 (515 N Garfield shared with Aire Serv of Sioux Empire),Mr. Electric franchise; owner inferred from shared address: confirm on the call,0,
Mister Sparky of Wichita,Wichita,,,web search 2026-09-25,Mister Sparky (Authority Brands) franchise; local franchisee name not published,0,
Benjamin Franklin Plumbing of Wichita,Wichita,Jason Clark,Owner (franchisee),web search 2026-09-25 (Plumbing & Mechanical magazine),franchise; owner since 2013; company roots to 1950,0,
Aire Serv of Omaha,Omaha,Kevin Cargile,Owner (franchisee),web search 2026-09-25 (LinkedIn; BBB),Aire Serv (Neighborly) franchise; La Vista; since 2005,0,
Mr Rooter Plumbing Company of Wichita,Wichita,,,web search 2026-09-25,Mr. Rooter (Neighborly) franchise; locally owned 25+ years; franchisee name not published,0,
Mr. Electric of Wichita,Wichita,Patrick Roberts,Owner (franchisee),web search 2026-09-25 (LinkedIn),Mr. Electric franchise; master electrician; Bel Aire,0,
Mister Sparky Omaha,Omaha,,,web search 2026-09-25,Mister Sparky (Authority Brands) franchise; local franchisee name not published,0,
Mr. Electric of Tulsa,Tulsa,Jeremy Smith,President / co-owner (franchisee),web search 2026-09-25 (LinkedIn; BBB),franchisee group also runs Mr. Electric Norman/OKC and Molly Maid Tulsa: multi-brand operator,-3,
Mister Sparky,Tulsa,Aaron Hagan,"Franchisee (NW Arkansas, OKC, Tulsa)",web search 2026-09-25 (Mister Sparky franchise blog),multi-market franchisee; decision may sit in Arkansas,-4,
Mighty Dog Roofing of Tulsa,Tulsa,Drue (last name not published),"Owner (franchisee, with Lisa)",web search 2026-09-25 (mightydogroofing.com/tulsa-ok/about-us/meet-the-team),Mighty Dog Roofing franchise; Bixby; 20+ years construction,0,
Benjamin Franklin Plumbing of Omaha,Omaha,Scott Wood Jr.,Owner (franchisee),web search 2026-09-25 (Authority Brands blog; 1851franchise.com),Navy veteran; also owns One Hour Heating & Air of Omaha,0,
Lorenz Plumbing Heating and Air Conditioning,Springfield,Mike Polino,Owner,web search 2026-09-25 (Springfield Business Journal; lorenzphac.com/about),master plumber; with the company since 1988; Springfield + Branson,0,
Queen City Heating and Cooling,Springfield,Justan Layne,Owner,web search 2026-09-25 (LinkedIn; queencityhvac.com/about-us),Nixa based; in HVAC since 2004,0,
Midwest Roofing,Springfield,Josiah Mote,Owner,web search 2026-09-25 (mwroofing.us; LinkedIn),has a locations page: may operate in more than one city,-2,
Callahan Heating And Cooling,Springfield,Brett Callahan,Owner,web search 2026-09-25 (LinkedIn; Springfield Business Journal),Marine veteran; founded July 2022 (young company); Ozark MO,0,
Sustainable Heating & Air,Lincoln,Brandon (last name not published),Owner,web search 2026-09-25 (BBB: Sustainable Mechanical Inc),"based in Papillion (Omaha metro), advertises in Lincoln; since 2006",0,
Action Heating and Cooling,Wichita,Jack Gibbons,Owner,web search 2026-09-25 (action316hvac.com/about; BBB),locally owned,0,
aksarben Heating Air Conditioning & Plumbing,Omaha,,,web search 2026-09-25 (ars.com/aksarben-ars; LinkedIn 'aksarben / ARS'),operates as aksarben ARS: part of American Residential Services (national corporate),0,corporate-owned: aksarben is an ARS (American Residential Services) branch
Lazer Home Services Plumbing HVAC & Electrical,Des Moines,Bob Kamin,Owner,web search 2026-09-25 (ZoomInfo; BBB),established 2001; multi-trade,0,
Des Moines Comfort,Des Moines,,,web search 2026-09-25 (desmoinescomfort.com),family owned 20+ years; owner name not published: ask for the owner,0,
Lenz Heating and Cooling,Des Moines,Al Lenz,Owner / founder,web search 2026-09-25 (lenzmechanical.com/about-us; LinkedIn),Marine Corps veteran; Urbandale; family owned,0,
Holt Plumbing & Heating Inc.,Des Moines,,,web search 2026-09-25 (holtplumbingandheating.com),Holt family company since 1947 (Lynn Holt led from the 1970s); current owner not confirmed: ask for the owner,0,
72 Degrees Heating Cooling Plumbing & Electrical,Des Moines,Kendel Richlen,Owner (with Julie Richlen),web search 2026-09-25 (BBB; 72degrees.com),established 1992; Ankeny,0,
True Comfort Heating and Cooling,Des Moines,Jonathan Marchand,Owner,web search 2026-09-25 (truecomfortiowa.com/our-team; LinkedIn),family run with sons Logan and Nathan and wife Sarah,0,
Lozier Heating and Cooling,Des Moines,Jon Edelen,President,web search 2026-09-25 (BBB; RocketReach lists Gary Pennington),locally owned since 1906; West Des Moines,0,
Bell Brothers Heating Cooling & Plumbing,Des Moines,Jason Gassmann,President / sole owner,web search 2026-09-25 (Business Record; bellbrothers.com),bought from his father Chuck Gassmann; large (4;400+ reviews),0,
Bakeris Roofing,Des Moines,Jeff Bakeris,Owner / founder,web search 2026-09-25 (iowaroof.com/who-we-are; BBB),founded 1990; family owned,0,
Eklund Heat and Air,Tulsa,William Eklund,Owner (with Kimberly Eklund),web search 2026-09-25 (BBB; eklundservices.com/about-us),founded 2010; Owasso,0,
Billings Roofing & Solar Inc,Tulsa,Chris Billings,President,web search 2026-09-25 (BBB; billings.construction/our-team),family owned since 2011,0,
PrairieSons,Sioux Falls,Frank Howe,Owner / founder,web search 2026-09-25 (prairiesons.com/about; KELOLAND),founded 2009; Brandon SD; family business,0,
J&K Exteriors,Lincoln,Kenny Blair,Owner,web search 2026-09-25 (LinkedIn; BBB),roofing and gutters; Lincoln,0,
RCS Electric,Tulsa,Craig Shaull,Owner,web search 2026-09-25 (rcselectric.com/about),in business since 1983; based in Bristow OK,0,
Bear Electric LLC,Lincoln,Ryan Matthiessen,Owner-operator,web search 2026-09-25 (LinkedIn; BBB),started 2020 with partner Gina,0,
AndPro Plumbing,Tulsa,Andrew (last name not published),Owner,web search 2026-09-25 (andproplumbing.com testimonials),Claremore/Owasso based,0,
Guardian Plumbing,Omaha,,,web search 2026-09-25 (callguardianplumbing.com/about),veteran owned; about two years old; formerly CW Plumbing; owner name not published,0,
Crockett Heating and Air,Wichita,Doug Crockett,Owner,web search 2026-09-25 (LinkedIn; BBB),family owned,0,
Graf Electric,Wichita,David Graf,Owner,web search 2026-09-25 (LinkedIn; grafelectric.com/about),since 1968,0,
Solid Roofing of Broken Arrow,Tulsa,Joey Uphold,Owner,web search 2026-09-25 (BBB),former insurance adjuster; Broken Arrow,0,
Genesis 1:3 Electric LLC,Tulsa,Ted LaBombarbe,Owner,web search 2026-09-25 (g13e.com/about),founded 2011; wife Kristine runs operations,0,
Ball Heating and Air Conditioning Inc,Wichita,Cynthia Ball,Owner,web search 2026-09-25 (LinkedIn),established 1985; Derby area,0,
Caniglia Heating & Cooling Inc,Lincoln,Jim Caniglia,Owner / President,web search 2026-09-25 (BBB; ZoomInfo),Gretna based since 2001; the Unique Indoor Comfort acquisition article refers to a different Caniglia company (Chris Caniglia); treated as independent,0,
Bright Idea Electrical,Omaha,,,web search 2026-09-25 (brightideaelectricalomaha.com),family owned; owner name not published,0,
Titan Mechanical,Wichita,Payton Sporleder,CEO / Owner,web search 2026-09-25 (BBB),LLC formed Jan 2023: young company; also commercial refrigeration/kitchen hoods,0,
Golden Rule Plumbing Heating Cooling & Electrical,Des Moines,Mark Paup,President / Owner,web search 2026-09-25 (WHO13 'meet the owners'; LinkedIn),owner-run but about $30M revenue and 9;500+ reviews: very large; Grimes,0,
Schaal Plumbing Heating and Cooling,Des Moines,Randy Keys,President / co-owner (with Dennis Lane),web search 2026-09-25 (ServiceTitan story; Facebook),very large (8;800+ reviews); has acquired several local companies; Johnston,0,
Schaal Electric Plumbing Heating & Cooling,Des Moines,Randy Keys,President / co-owner (with Dennis Lane),web search 2026-09-25 (ServiceTitan story; Facebook),same company as Schaal Plumbing Heating and Cooling,0,
"Service Legends Heating, Cooling, Plumbing & Indoor Air",Des Moines,Brian Leech,Owner / founder,web search 2026-09-25 (LinkedIn; Certain Path podcast),since 1997; about $6.7M revenue; large,0,
Clog Busters Drain Cleaning & Repair,Des Moines,Jarod Smith,Owner,web search 2026-09-25 (BBB; clogbusters.co),since 2021; also North Liberty and Grand Rapids locations,-2,
Integra Electrical Residential Electrician,Des Moines,Ben Carpenter,CEO,web search 2026-09-25 (LinkedIn),family owned since 2006; Indianola,0,
Custom Electrical Services,Des Moines,Ron Mealey,Owner / founder,web search 2026-09-25 (customelectricalia.com/about),master electrician; founded 2005,0,
Modern Heating & Air,Des Moines,Jacob Burkhart,Owner,web search 2026-09-25 (BBB; LinkedIn),established 2010,0,
Thrasher Service Corp,Des Moines,Jim Thrasher,Owner (with Connie Thrasher),web search 2026-09-25 (thrasherservice.com/about),family owned since 1978; 18 employees,0,
Heartland Roofing Siding and Solar,Des Moines,Adam Olson,Owner,web search 2026-09-25 (LinkedIn; heartlandroofingandsiding.com/locations),locations in Iowa and Minnesota,-3,
Rewired Iowa Electrician Des Moines,Des Moines,John Senn,Owner / founder,web search 2026-09-25 (rewirediowa.com),master electrician; owner on the tools,0,
H & H Plumbing Inc,Des Moines,Chris Hansen,Owner / founder,web search 2026-09-25 (handhplumbing.net/about-us),since 2003; Granger,0,
Deaver Electric Inc.,Des Moines,Travis Deaver,Owner,web search 2026-09-25 (LinkedIn; Facebook),sole owner since 2004; Grimes,0,
Arc Electric,Des Moines,Rees Christensen,Owner,web search 2026-09-25 (BBB),Grimes,0,
Neighbors Heating Cooling Plumbing Geothermal & Radon,Des Moines,Valerie Miller,Owner,web search 2026-09-25 (neighborscomfort.com/about-us; BBB lists Jason Miller and Rich Berends),based in Ames (outside the metro); since 1986,-2,
Metro Heating and Cooling,Des Moines,Joe Tollari,President,web search 2026-09-25 (metrohci.com/about; LinkedIn Joey Tollari),family owned since 1984; son of founder,0,
Premier Roofing & Exteriors,Grand Rapids,,,web search 2026-09-25 (exteriorsbypremier.com),family owned since 2006; Grandville; serves several Michigan cities; owner name not published (reviews mention Mike and Dave Gater),-2,
Victors Home Solutions,Grand Rapids,Victor Smolyanov,Owner / founder (HQ Canton MI),web search 2026-09-25 (Roofing Contractor magazine; BBB),multi-state operator across Michigan and Ohio; Grand Rapids is a branch,0,multi-state operator (HQ Canton MI): local branch cannot buy
Guns N Hoses Roofing & Siding,Grand Rapids,,,web search 2026-09-25 (gunsnhosesllc.com),based in Flushing/Flint MI and advertises in Grand Rapids; owner name not published,-3,
Infinity Home Improvement,Grand Rapids,Bob Heilman,President,web search 2026-09-25 (RocketReach; infinityhi.com),"Grand Rapids HQ with Lansing, Kalamazoo and Jackson offices",-2,
Above Roofing,Grand Rapids,,,web search 2026-09-25 (aboveroofing.com),family owned since 1996; Jenison; owner name not published: ask for the owner,0,
Summit Point Roofing,Grand Rapids,Joe Westra,Co-owner (with John Van Wylen),web search 2026-09-25 (Issuu feature; summitpointroofing.com),Ada MI,0,
Home Pro Roofing,Grand Rapids,Shannon Eifert,President,web search 2026-09-25 (DBusiness; SBIA deal announcement),"acquired by Aligned Exteriors Group (NY, Monroe Capital backed)",0,acquired by private-equity-backed Aligned Exteriors Group
Mr. Roof Grand Rapids,Grand Rapids,Ryan Huyghe,President/CEO (Mr. Roof corporate),web search 2026-09-25 (mrroof.com/about; BBB),Mr. Roof is a multi-state company owned by Crane Group since 2007,0,national operator: Mr. Roof (Crane Group) branch
Melvin Belk Roofing Contractors LLC,Grand Rapids,Melvin Belk,President / Owner,web search 2026-09-25 (BBB; melvinbelkroofing.com/about-us),family owned since 1983,0,
Armored Roofing and Construction,Grand Rapids,David Strotheide,President / Owner,web search 2026-09-25 (BBB; armoredroofs.com/about-us),third-generation remodeler; Byron Center,0,
Service Professor,Grand Rapids,Brad Krause,President,web search 2026-09-25 (Crain's Grand Rapids; Sprinkler Nerd podcast 'exit to private equity'),acquired Dec 2021 by Atrium Home Services (private-equity platform),0,acquired by private-equity platform Atrium Home Services (2021)
Grapids Heating & Cooling,Grand Rapids,Nathan Engelsma,Owner / President,web search 2026-09-25 (LinkedIn; BBB),trades as Grapids Home Services; large (5;600+ reviews),0,
Vander Hyde Service,Grand Rapids,Kevin Vander Hyde,President,web search 2026-09-25 (BBB; ACHR News),second-generation family company since 1989,0,
Canfield Heating Cooling Plumbing & Electrical,Grand Rapids,Greg Canfield,President / founder (with Deb Canfield),web search 2026-09-25 (BBB; canfieldph.com/about),founded 1994; Lowell MI,0,
